2025-05-21 13:39:50.069 | WARNING  | __main__:main:16 - Processing your request...
2025-05-21 13:39:50.070 | INFO     | app.agent.base:run:140 - Executing step 1/20
2025-05-21 13:39:50.487 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 401 - {'error': {'code': 'authentication_error', 'message': 'Invalid Anthropic API Key', 'type': 'invalid_request_error', 'param': None}}
2025-05-21 13:39:50.487 | ERROR    | app.llm:ask_tool:758 - Authentication failed. Check API key.
2025-05-21 13:39:51.537 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 401 - {'error': {'code': 'authentication_error', 'message': 'Invalid Anthropic API Key', 'type': 'invalid_request_error', 'param': None}}
2025-05-21 13:39:51.537 | ERROR    | app.llm:ask_tool:758 - Authentication failed. Check API key.
2025-05-21 13:39:52.834 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 401 - {'error': {'code': 'authentication_error', 'message': 'Invalid Anthropic API Key', 'type': 'invalid_request_error', 'param': None}}
2025-05-21 13:39:52.834 | ERROR    | app.llm:ask_tool:758 - Authentication failed. Check API key.
2025-05-21 13:39:55.257 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 401 - {'error': {'code': 'authentication_error', 'message': 'Invalid Anthropic API Key', 'type': 'invalid_request_error', 'param': None}}
2025-05-21 13:39:55.257 | ERROR    | app.llm:ask_tool:758 - Authentication failed. Check API key.
2025-05-21 13:40:01.567 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 401 - {'error': {'code': 'authentication_error', 'message': 'Invalid Anthropic API Key', 'type': 'invalid_request_error', 'param': None}}
2025-05-21 13:40:01.567 | ERROR    | app.llm:ask_tool:758 - Authentication failed. Check API key.
2025-05-21 13:40:14.680 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 401 - {'error': {'code': 'authentication_error', 'message': 'Invalid Anthropic API Key', 'type': 'invalid_request_error', 'param': None}}
2025-05-21 13:40:14.680 | ERROR    | app.llm:ask_tool:758 - Authentication failed. Check API key.
2025-05-21 13:40:14.689 | INFO     | app.tool.mcp:disconnect:175 - Disconnected from all MCP servers
