2025-05-21 12:25:51.530 | WARNING  | __main__:main:16 - Processing your request...
2025-05-21 12:25:51.530 | INFO     | app.agent.base:run:140 - Executing step 1/20
2025-05-21 12:25:52.093 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 401 - {'error': {'code': 'authentication_error', 'message': 'Invalid Anthropic API Key', 'type': 'invalid_request_error', 'param': None}}
2025-05-21 12:25:52.093 | ERROR    | app.llm:ask_tool:758 - Authentication failed. Check API key.
2025-05-21 12:25:53.146 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 401 - {'error': {'code': 'authentication_error', 'message': 'Invalid Anthropic API Key', 'type': 'invalid_request_error', 'param': None}}
2025-05-21 12:25:53.146 | ERROR    | app.llm:ask_tool:758 - Authentication failed. Check API key.
2025-05-21 12:25:54.504 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 401 - {'error': {'code': 'authentication_error', 'message': 'Invalid Anthropic API Key', 'type': 'invalid_request_error', 'param': None}}
2025-05-21 12:25:54.504 | ERROR    | app.llm:ask_tool:758 - Authentication failed. Check API key.
2025-05-21 12:25:57.629 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 401 - {'error': {'code': 'authentication_error', 'message': 'Invalid Anthropic API Key', 'type': 'invalid_request_error', 'param': None}}
2025-05-21 12:25:57.629 | ERROR    | app.llm:ask_tool:758 - Authentication failed. Check API key.
2025-05-21 12:26:04.521 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 401 - {'error': {'code': 'authentication_error', 'message': 'Invalid Anthropic API Key', 'type': 'invalid_request_error', 'param': None}}
2025-05-21 12:26:04.530 | ERROR    | app.llm:ask_tool:758 - Authentication failed. Check API key.
2025-05-21 12:26:12.034 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 401 - {'error': {'code': 'authentication_error', 'message': 'Invalid Anthropic API Key', 'type': 'invalid_request_error', 'param': None}}
2025-05-21 12:26:12.034 | ERROR    | app.llm:ask_tool:758 - Authentication failed. Check API key.
2025-05-21 12:26:12.042 | INFO     | app.tool.mcp:disconnect:175 - Disconnected from all MCP servers
