2025-06-24 10:07:33.675 | INFO     | app.agent.base:run:140 - Executing step 1/20
2025-06-24 10:07:33.853 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 400 - {'error': {'code': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.', 'type': 'invalid_request_error', 'param': None}}
2025-06-24 10:07:33.853 | ERROR    | app.llm:ask_tool:762 - API error: Error code: 400 - {'error': {'code': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.', 'type': 'invalid_request_error', 'param': None}}
2025-06-24 10:07:34.965 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 400 - {'error': {'code': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.', 'type': 'invalid_request_error', 'param': None}}
2025-06-24 10:07:34.966 | ERROR    | app.llm:ask_tool:762 - API error: Error code: 400 - {'error': {'code': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.', 'type': 'invalid_request_error', 'param': None}}
2025-06-24 10:07:36.677 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 400 - {'error': {'code': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.', 'type': 'invalid_request_error', 'param': None}}
2025-06-24 10:07:36.677 | ERROR    | app.llm:ask_tool:762 - API error: Error code: 400 - {'error': {'code': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.', 'type': 'invalid_request_error', 'param': None}}
2025-06-24 10:07:40.665 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 400 - {'error': {'code': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.', 'type': 'invalid_request_error', 'param': None}}
2025-06-24 10:07:40.665 | ERROR    | app.llm:ask_tool:762 - API error: Error code: 400 - {'error': {'code': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.', 'type': 'invalid_request_error', 'param': None}}
2025-06-24 10:07:46.141 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 400 - {'error': {'code': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.', 'type': 'invalid_request_error', 'param': None}}
2025-06-24 10:07:46.141 | ERROR    | app.llm:ask_tool:762 - API error: Error code: 400 - {'error': {'code': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.', 'type': 'invalid_request_error', 'param': None}}
2025-06-24 10:08:01.471 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 400 - {'error': {'code': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.', 'type': 'invalid_request_error', 'param': None}}
2025-06-24 10:08:01.471 | ERROR    | app.llm:ask_tool:762 - API error: Error code: 400 - {'error': {'code': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.', 'type': 'invalid_request_error', 'param': None}}
2025-06-24 10:08:01.477 | INFO     | app.tool.mcp:disconnect:175 - Disconnected from all MCP servers
