2025-05-21 13:52:52.210 | WARNING  | __main__:main:16 - Processing your request...
2025-05-21 13:52:52.211 | INFO     | app.agent.base:run:140 - Executing step 1/20
2025-05-21 13:52:52.631 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 401 - {'error': {'code': 'authentication_error', 'message': 'Invalid Anthropic API Key', 'type': 'invalid_request_error', 'param': None}}
2025-05-21 13:52:52.631 | ERROR    | app.llm:ask_tool:758 - Authentication failed. Check API key.
2025-05-21 13:52:53.689 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 401 - {'error': {'code': 'authentication_error', 'message': 'Invalid Anthropic API Key', 'type': 'invalid_request_error', 'param': None}}
2025-05-21 13:52:53.689 | ERROR    | app.llm:ask_tool:758 - Authentication failed. Check API key.
2025-05-21 13:52:55.017 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 401 - {'error': {'code': 'authentication_error', 'message': 'Invalid Anthropic API Key', 'type': 'invalid_request_error', 'param': None}}
2025-05-21 13:52:55.017 | ERROR    | app.llm:ask_tool:758 - Authentication failed. Check API key.
2025-05-21 13:52:56.668 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 401 - {'error': {'code': 'authentication_error', 'message': 'Invalid Anthropic API Key', 'type': 'invalid_request_error', 'param': None}}
2025-05-21 13:52:56.668 | ERROR    | app.llm:ask_tool:758 - Authentication failed. Check API key.
2025-05-21 13:53:02.373 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 401 - {'error': {'code': 'authentication_error', 'message': 'Invalid Anthropic API Key', 'type': 'invalid_request_error', 'param': None}}
2025-05-21 13:53:02.374 | ERROR    | app.llm:ask_tool:758 - Authentication failed. Check API key.
2025-05-21 13:53:06.719 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 401 - {'error': {'code': 'authentication_error', 'message': 'Invalid Anthropic API Key', 'type': 'invalid_request_error', 'param': None}}
2025-05-21 13:53:06.719 | ERROR    | app.llm:ask_tool:758 - Authentication failed. Check API key.
2025-05-21 13:53:06.726 | INFO     | app.tool.mcp:disconnect:175 - Disconnected from all MCP servers
